Count_of_Loans,Count_of_Late_Payments,Count_of_Loan_Enquiries,Existing_Loan_Balance,Credit_History_Length_Years,Defaulter
9,2,4,965327.02,15,0
8,2,3,748557.54,18,1
2,1,6,1227005.76,9,1
8,1,7,1105380.89,21,1
4,2,2,939652.81,25,0
2,2,4,919410.29,22,0
10,0,0,1041381.16,8,0
7,1,4,800769.07,23,0
6,1,1,1181638.03,12,0
10,3,2,531023.6,17,1
5,3,3,671068.78,4,1
1,5,3,434708.99,7,1
2,2,2,1559183.32,12,1
8,4,3,50000.0,9,1
1,0,5,729985.36,18,1
3,0,5,515500.66,17,1
2,0,3,644758.0,18,1
5,2,2,50000.0,14,0
4,2,4,516649.62,12,0
7,2,1,986782.41,9,1
5,4,1,367479.83,18,1
8,0,3,1352003.23,13,1
4,2,2,470466.25,25,0
6,1,3,147303.24,7,1
4,1,2,1441571.98,22,0
2,2,2,1003422.9,1,1
1,5,1,1055039.04,16,0
1,6,1,1695210.23,25,0
8,5,0,197146.33,12,1
4,4,1,1304876.14,9,1
5,1,2,50000.0,12,0
8,4,7,289352.21,14,1
7,3,3,1184491.91,12,1
8,2,2,879958.82,11,1
8,4,5,50000.0,1,1
6,1,5,518416.03,6,1
10,2,4,388568.17,5,1
2,3,2,1042088.51,19,0
6,2,3,910922.56,24,1
1,1,1,969394.7,15,0
1,2,5,338271.97,5,1
3,2,1,562219.4,11,0
3,3,5,954930.24,12,1
5,2,3,847091.9,7,1
1,2,2,1179642.92,10,0
10,4,5,349521.37,20,1
6,3,6,249078.64,25,0
7,0,4,877050.99,14,0
10,3,6,1368909.05,12,1
3,1,4,118951.19,10,1
4,3,2,334306.12,17,0
10,2,5,568499.02,13,0
10,3,2,729378.15,24,0
10,2,2,1158642.55,11,1
10,3,5,336995.78,14,1
10,2,3,654533.88,25,0
3,5,8,493732.07,23,0
1,6,0,1022989.18,14,1
8,4,1,916240.89,13,1
10,2,3,1197676.08,22,1
10,2,2,1058056.71,22,0
2,2,1,1215962.09,6,1
1,3,2,614379.77,1,1
8,3,1,1388918.94,16,1
7,0,1,111728.85,25,0
7,3,2,1341773.82,3,1
4,6,2,415021.73,3,1
9,0,2,1246964.19,17,1
6,5,4,1197182.36,19,1
2,2,1,599827.24,3,1
1,1,4,647806.42,19,0
1,1,3,317975.77,8,1
9,5,2,376791.9,17,1
4,2,1,884590.35,23,0
5,1,3,179171.17,16,0
3,2,2,1354842.05,12,1
4,2,1,977364.34,10,1
8,2,2,823815.05,15,1
4,3,3,591762.02,15,0
9,3,3,1347947.51,1,1
9,2,5,1038794.49,9,1
6,2,2,504369.01,22,0
2,3,3,648101.49,16,0
10,4,1,1156781.38,13,1
7,5,3,865479.0,2,1
9,2,2,559562.85,20,1
6,3,3,1069233.47,15,0
3,3,0,1019759.99,24,0
7,3,2,847938.14,12,1
5,2,2,210884.63,25,0
1,1,2,396729.98,20,0
3,3,2,894023.47,13,0
5,2,4,83192.49,16,0
7,5,5,562288.85,15,1
3,1,3,705070.12,13,1
6,3,4,857105.2,25,0
5,1,6,586952.27,11,0
1,3,3,679497.94,22,0
10,3,1,256875.01,23,1
6,1,3,735478.34,3,1
8,2,1,919510.59,2,1
1,4,0,502010.07,19,1
2,0,5,641725.4,1,1
4,2,2,982993.56,25,0
2,3,2,938832.06,13,1
9,1,3,472856.6,5,1
10,2,2,1002003.23,10,1
8,1,3,706103.21,4,1
8,4,1,986138.56,12,1
4,3,3,50000.0,17,1
5,0,3,1024131.7,20,0
4,1,2,977249.32,11,1
9,2,2,890975.98,12,1
2,0,6,655238.69,16,0
8,1,3,1002828.31,5,0
2,3,4,936038.75,4,1
1,2,4,602652.56,1,1
10,3,5,941417.93,10,1
3,1,3,535096.89,1,1
9,3,4,111132.17,8,1
3,3,3,581230.31,18,0
9,2,1,991477.66,25,1
7,2,2,762420.56,21,0
10,2,2,852957.32,22,0
1,2,5,207013.49,21,0
10,1,5,781149.58,11,1
5,3,4,826439.49,1,1
9,2,3,1076665.77,7,1
3,1,2,1221842.18,13,1
9,3,6,867737.32,10,0
5,4,6,1023375.52,18,1
9,3,5,200752.01,13,1
10,1,3,985815.27,11,1
6,3,2,884247.29,23,0
9,2,2,1053328.7,14,1
7,6,1,545240.16,13,1
7,8,2,894832.29,22,1
8,4,0,287128.66,12,1
7,7,3,544971.38,1,1
9,3,2,422308.85,18,1
9,0,3,50000.0,23,0
6,3,1,938886.34,16,0
7,2,3,631427.95,5,1
2,3,3,986993.07,5,1
9,3,5,641460.13,19,1
1,0,2,533229.41,15,0
1,1,3,594563.02,25,0
3,3,3,1014219.22,12,1
6,3,3,1127616.76,5,1
5,5,1,457182.34,12,0
2,4,3,887741.89,13,1
9,4,2,1356267.16,1,1
10,3,3,883493.0,11,1
4,3,2,711245.04,18,0
4,2,8,1081206.14,5,1
5,1,4,853423.84,14,1
8,2,3,621536.0,18,1
10,3,4,651976.62,24,1
4,1,2,539414.26,9,1
5,3,2,569317.43,21,0
4,1,4,1007128.55,24,0
6,2,2,1242912.89,5,1
3,4,1,772810.84,4,0
8,2,3,1136829.36,24,0
6,3,1,991651.1,3,1
10,5,2,690361.4,24,0
5,4,2,370953.21,3,1
2,5,1,958181.73,18,0
10,1,6,1084840.52,18,1
10,6,1,145783.35,18,1
7,2,2,590711.26,19,0
2,1,3,808467.88,2,1
1,3,4,1097603.81,14,1
7,3,2,1209672.06,6,1
5,4,2,693429.84,24,0
1,0,3,247706.11,13,1
4,3,6,72333.26,25,0
4,4,4,1711765.02,22,1
10,6,2,853879.32,15,1
7,2,3,764578.06,10,0
9,2,1,478638.41,6,1
2,3,4,1186979.21,20,0
1,2,3,455100.46,18,1
2,2,6,1218517.28,13,1
7,1,2,1229326.39,22,0
10,1,7,877461.86,1,1
6,4,4,1038619.07,7,1
4,3,3,456823.34,3,1
1,4,1,802009.27,24,0
1,0,5,245336.01,25,0
5,1,1,581446.15,15,1
1,3,6,100132.22,3,1
7,2,2,50000.0,23,0
1,7,3,475122.98,19,1
1,2,2,341757.86,19,0
2,3,4,805121.42,14,1
10,2,5,946480.22,13,1
3,5,4,964754.91,4,1
1,3,3,670717.8,5,1
9,2,2,1290701.5,13,1
10,1,3,954205.26,7,1
8,1,4,752522.37,11,1
5,6,1,1183217.69,24,1
2,8,7,866819.42,24,1
5,5,1,923442.62,2,1
6,0,2,134691.04,12,0
1,2,2,532982.89,24,0
4,1,3,915907.71,9,0
9,3,1,739534.26,7,1
2,3,2,1197871.01,8,1
5,1,5,1035113.56,15,0
1,2,5,1033446.06,12,1
4,0,5,397068.65,1,1
4,2,3,1408493.01,19,1
6,3,3,1338091.9,2,1
10,2,6,908072.82,7,1
9,2,3,464897.37,14,1
3,0,5,214494.45,24,0
9,4,1,559579.55,15,1
6,3,0,584012.7,18,0
7,1,1,1124864.59,18,0
10,2,3,1267986.29,6,0
2,0,3,359176.53,22,0
10,4,2,597963.39,22,0
6,5,1,927098.37,22,1
6,0,4,761650.2,15,1
2,4,3,1227590.93,8,0
2,0,1,347383.1,18,0
2,2,3,1225188.69,4,1
10,2,4,571090.85,3,1
1,4,2,1530296.81,18,1
5,2,0,1133815.84,11,1
8,2,1,1129703.94,5,1
2,4,3,270282.1,7,1
5,4,3,95759.38,5,1
8,5,0,482623.26,20,1
10,1,4,471024.11,6,1
5,3,2,671867.58,12,1
2,5,3,322997.34,6,1
3,4,4,1178410.8,19,1
6,1,2,888113.95,15,1
5,2,4,50000.0,6,1
4,3,3,607042.85,13,1
4,1,1,955419.82,24,1
5,2,1,622490.6,14,0
2,5,4,335553.01,21,0
9,2,2,368952.53,21,0
2,2,4,825894.83,11,0
10,3,4,242141.31,6,1
2,3,1,738668.27,4,1
10,5,5,544939.09,3,1
9,4,1,965558.78,2,1
3,3,1,961071.16,8,0
10,5,1,1566471.43,4,1
7,4,2,658381.76,3,1
4,2,2,1217507.35,5,1
6,6,4,1043407.33,9,1
4,1,2,372697.33,20,0
10,4,1,1490657.54,4,1
7,5,3,854936.52,4,1
1,3,1,1434333.99,4,1
3,3,0,349211.57,15,1
3,4,4,1183560.12,7,1
1,1,1,104152.77,19,0
6,3,4,50000.0,25,1
9,2,6,1643183.92,2,1
8,1,5,1182632.85,11,1
7,5,1,1352632.76,19,0
10,1,4,681693.26,19,0
8,1,5,544160.54,13,1
6,6,2,1061345.4,22,1
9,1,4,360441.46,21,0
3,2,6,359207.25,1,0
10,2,2,564347.72,21,1
10,2,1,1174184.71,14,1
9,1,1,371303.47,24,0
4,5,6,1201723.86,11,1
7,0,3,974470.28,18,0
9,0,2,982901.97,18,0
2,4,6,142386.67,6,1
2,2,3,534055.7,10,0
9,1,0,711631.87,16,1
3,3,2,932277.51,15,1
9,2,2,543297.77,1,1
5,2,1,1447207.63,10,0
6,2,3,689642.47,24,0
2,1,2,938483.65,2,1
8,6,2,819053.04,11,1
9,1,1,1083787.05,3,1
2,3,6,801624.73,23,1
6,4,2,297350.75,24,1
6,3,5,650150.64,20,0
8,3,5,436887.06,21,0
10,2,5,50000.0,11,1
5,2,1,1264291.71,18,1
9,3,4,1421087.8,11,1
1,4,3,703596.67,21,1
9,1,3,719091.36,25,0
10,1,3,517462.52,7,1
7,1,4,812066.79,12,1
4,1,4,1391390.09,5,1
3,0,2,1406864.3,11,1
10,3,3,851352.33,25,0
6,1,7,124884.52,23,0
1,3,3,1227520.24,21,1
3,1,4,521551.98,19,0
2,3,4,628803.35,5,1
9,5,0,973356.94,14,1
3,6,1,521726.15,20,1
2,1,5,970661.52,3,1
4,3,3,721005.81,13,1
2,0,3,509929.86,4,0
1,1,1,935312.1,13,1
6,5,0,551109.86,14,1
10,3,4,788308.02,15,1
8,2,3,262582.19,8,1
10,2,2,1343406.55,21,1
10,2,3,203726.84,18,0
2,2,6,744174.42,25,0
9,3,5,1095888.47,19,1
3,3,4,1245998.29,5,1
8,0,2,773703.74,12,1
8,1,1,596055.52,4,1
3,5,2,860507.29,22,1
3,4,3,200178.48,6,1
6,2,3,50000.0,7,1
1,3,1,802956.96,20,0
4,3,3,898069.37,18,1
1,4,2,826491.39,11,1
3,1,7,890842.29,1,1
9,5,6,1373594.5,15,1
5,2,3,812767.79,21,0
5,3,2,980824.03,11,1
4,6,5,616293.32,3,1
3,0,4,318492.55,7,0
5,1,3,1122455.8,25,0
4,4,2,50000.0,24,0
8,5,2,66927.19,6,1
4,10,5,1474644.29,19,1
8,3,5,1023376.9,11,1
6,3,5,919366.18,2,1
5,4,0,1548958.07,9,1
4,4,4,1055923.16,3,1
4,1,2,452565.07,10,1
4,3,3,542256.52,3,1
9,6,1,1385043.16,11,1
4,2,3,739092.74,18,0
9,4,3,773015.36,14,1
10,1,8,238182.46,14,1
6,4,5,547902.22,15,1
10,4,3,784056.75,23,0
7,3,7,1307486.56,16,1
10,2,2,1440553.83,22,1
3,6,4,971586.92,21,1
8,3,2,1059064.43,5,1
3,2,5,665350.71,7,1
1,0,3,448574.53,8,1
10,1,2,705526.14,9,1
5,2,3,1053785.95,15,1
2,2,4,330748.78,2,1
10,3,3,365640.89,13,1
6,1,3,1120572.41,6,1
10,3,6,50000.0,22,0
9,3,4,259612.8,20,1
1,4,5,718390.43,10,1
4,1,3,1729377.88,3,1
1,1,4,548699.49,19,0
1,1,3,908306.75,17,1
8,1,2,726098.51,4,1
2,1,4,765121.99,20,0
1,2,2,50000.0,3,0
8,0,2,1371805.29,20,1
4,2,4,453409.43,19,1
3,5,2,269751.99,15,1
4,4,3,1757278.07,15,1
5,3,2,632350.96,1,0
1,1,5,1354798.19,14,1
1,5,5,336952.11,3,1
3,1,3,1186119.43,5,1
6,2,4,1151059.91,17,1
1,1,4,717172.27,21,0
2,1,3,882480.91,22,0
7,4,6,459316.91,10,1
1,3,7,1211157.08,22,1
7,1,3,761561.25,9,1
4,0,4,205298.2,14,1
10,4,5,1036870.83,11,1
6,5,4,849049.61,12,1
8,1,0,866943.88,5,1
9,1,1,146470.53,16,1
6,2,5,1580384.14,9,1
9,4,3,769847.32,23,1
4,3,1,826199.59,24,0
6,4,1,784308.72,9,1
8,2,2,1207933.99,7,0
9,3,1,1281951.78,20,1
3,4,2,950425.68,7,1
2,2,2,1435053.97,18,1
6,3,1,962776.51,20,1
4,2,3,689708.2,21,0
1,2,4,554827.45,5,1
8,3,2,891271.07,1,1
9,3,4,50000.0,7,1
9,1,4,733358.83,14,1
2,4,4,699798.17,2,1
9,5,2,497860.64,24,1
7,1,6,786878.23,14,0
5,3,1,972624.03,17,1
7,2,7,1031084.39,7,1
9,3,6,846204.93,3,1
8,2,3,824536.95,21,0
6,6,4,1464487.52,2,1
4,2,1,1424109.31,20,0
1,1,4,612579.71,10,0
6,2,1,1255527.05,3,1
3,2,3,475745.69,23,0
6,2,1,810791.12,20,0
6,5,3,485182.05,6,0
4,6,4,1029049.74,9,1
2,1,4,488595.82,16,0
9,2,1,825914.12,15,0
2,4,4,878468.44,24,1
3,3,3,494150.44,9,1
10,1,4,1004308.47,9,1
1,4,4,1393614.62,13,1
7,2,1,906224.83,6,1
1,2,2,986325.07,20,1
9,3,4,1424732.73,21,0
1,1,3,565508.9,19,0
5,3,3,1104682.02,23,1
7,2,1,925789.2,11,1
3,2,6,966569.77,15,1
9,1,2,904276.19,8,1
8,2,3,701126.93,9,1
3,1,3,683662.95,7,1
5,3,1,1071937.75,5,1
7,3,5,1360338.14,19,1
4,1,3,820955.73,20,0
5,1,2,1070005.59,17,0
3,2,0,1036954.04,20,0
9,6,1,1084230.5,23,1
10,3,4,541397.41,10,1
9,2,2,784470.46,19,1
7,3,4,419717.17,10,1
10,4,3,771742.53,22,1
2,1,3,532268.45,16,0
7,2,3,848994.29,25,0
7,2,1,146170.48,24,1
5,1,3,528383.6,15,0
9,2,0,616508.7,25,1
3,2,2,930814.61,20,0
4,3,2,295032.95,3,1
1,2,2,865020.6,7,1
6,3,3,662378.1,22,0
4,4,3,846106.2,5,1
1,2,3,886410.26,13,1
2,1,1,1076290.72,4,1
3,0,2,1162399.22,10,1
9,1,1,477722.75,11,1
8,4,3,1028164.93,8,1
7,4,6,317724.74,17,0
4,5,6,905237.55,11,1
1,0,2,878721.22,2,1
8,1,0,853190.26,18,0
4,1,0,455472.63,25,0
3,2,1,776649.27,17,0
9,2,1,573140.35,18,0
10,2,3,682137.97,13,0
4,3,3,1495227.65,11,1
4,3,1,884994.28,24,0
9,1,6,1165687.48,3,1
2,2,4,1583374.39,19,0
5,3,0,472085.67,1,1
4,3,3,354757.6,18,0
9,4,3,1351006.26,13,1
5,2,2,299117.98,1,1
9,1,4,418211.99,18,1
9,1,2,1011311.05,17,1
2,1,5,550341.13,22,0
9,2,1,912946.75,23,0
3,3,7,1002732.69,3,1
4,2,3,50000.0,24,0
1,1,5,1476781.58,3,1
1,3,2,1727060.26,23,0
1,5,3,756610.18,5,1
9,3,0,1123162.95,24,0
8,1,4,1786394.98,22,1
5,4,2,928829.9,21,1
5,0,2,277481.04,25,0
9,4,4,931475.68,18,0
3,0,5,421057.45,16,0
3,7,2,747066.65,17,1
7,4,6,1298101.53,7,1
9,1,4,1322726.61,2,0
6,2,1,256937.03,21,0
2,1,4,1028996.99,1,1
1,3,3,691241.44,17,0
2,3,2,438035.92,13,0
1,2,2,907590.95,11,1
10,2,1,1019207.48,16,1
10,1,5,1310664.9,17,0
9,2,1,1018893.5,12,1
10,4,3,714965.82,17,1
8,7,3,734316.65,2,1
7,2,1,1370063.39,2,1
3,3,3,639033.92,24,1
8,2,3,654767.24,1,1
2,5,2,803001.24,15,1
2,1,1,792377.06,9,0
10,2,2,663696.44,12,1
3,3,2,1290743.77,5,0
7,1,2,931164.53,8,1
1,4,3,1470016.0,12,1
8,2,5,1445403.84,20,1
7,4,2,1030482.82,5,1
4,2,6,718730.69,2,1
5,2,3,252762.26,13,1
10,2,4,553304.49,21,1
1,3,3,1403195.45,21,0
4,3,4,661099.48,17,1
1,2,1,505002.48,14,0
1,2,3,1265255.53,16,1
10,1,3,857489.01,1,1
1,1,3,788590.33,22,0
7,2,1,1115155.58,4,1
7,2,6,330233.68,25,0
4,6,5,656788.91,8,1
2,3,3,1288104.1,2,1
3,0,2,960962.66,16,0
8,3,7,1090287.44,16,1
8,5,4,1329049.48,12,1
6,3,5,1211210.22,13,1
10,2,3,660129.82,4,1
9,2,4,840858.23,17,1
9,3,4,71079.27,14,1
4,3,2,1437131.31,12,0
1,4,3,983067.59,12,0
1,2,4,423171.76,14,1
10,5,5,168173.1,16,1
5,2,3,612594.91,7,1
2,2,0,747185.68,13,0
6,2,1,827885.05,8,1
7,2,0,245615.55,8,1
1,1,1,464725.7,15,1
6,4,5,917652.58,11,1
8,1,2,1817680.76,5,1
5,3,1,940667.94,14,0
7,1,5,969870.27,2,1
10,3,3,287315.17,5,1
6,3,1,801047.74,10,1
4,1,4,263707.83,18,0
7,1,2,748279.62,2,1
10,6,5,1523934.62,25,1
9,3,0,533415.6,3,1
10,1,2,873908.06,10,1
10,2,5,419885.72,15,1
7,2,3,1018156.44,17,0
5,2,3,695428.65,5,1
7,3,2,141662.24,13,0
3,4,3,767120.78,16,1
2,0,2,1549820.03,24,0
5,3,1,1001806.37,17,1
4,3,2,896733.06,3,1
5,5,3,591277.11,16,0
8,3,5,635394.13,5,1
4,2,3,1413265.92,21,1
9,1,6,716677.24,16,1
7,2,4,918711.92,3,1
10,2,3,991822.93,21,1
7,2,6,330403.11,21,0
8,1,3,50000.0,11,0
6,3,2,341580.33,15,0
8,3,1,219066.63,2,1
3,1,3,1346784.32,2,0
10,4,2,412430.65,15,1
10,3,2,560817.34,4,1
1,4,3,1009183.4,24,0
6,4,6,558126.18,3,1
1,2,7,1156025.85,16,1
9,4,3,1709985.89,9,1
2,4,3,1301984.65,6,1
2,7,1,1128699.59,21,1
7,3,3,544821.57,4,1
2,0,2,711907.62,22,0
10,2,4,846737.32,25,0
8,2,2,1301949.92,18,1
6,3,4,819300.6,9,1
7,3,2,713812.43,1,1
7,4,2,1410581.21,5,0
6,1,3,1218401.15,13,1
10,1,5,187515.35,18,0
9,1,1,1051385.64,11,0
9,2,4,607997.88,4,1
7,2,1,1905733.57,4,1
9,2,2,742496.28,17,1
10,5,0,942326.88,7,1
3,3,6,1223815.49,24,1
3,2,2,1383827.84,20,0
1,1,3,1047760.58,11,1
5,0,2,1043575.87,21,0
4,2,3,1236026.5,11,1
2,2,4,828061.38,3,1
9,3,2,763094.77,21,0
3,2,1,1130746.52,25,0
8,1,4,1095632.18,18,0
6,2,2,863107.0,16,0
5,4,3,1032913.46,10,0
1,0,4,1322544.13,11,1
4,3,5,725327.0,6,1
3,4,7,151168.45,7,1
1,3,3,629675.45,2,1
5,4,5,1123266.5,11,1
6,4,1,745500.26,23,1
2,1,3,744051.58,5,1
3,1,3,562491.36,1,1
6,1,5,993161.42,6,0
4,2,1,1092913.39,5,1
9,1,4,703791.62,23,0
5,4,7,1045007.91,7,1
4,1,2,1388415.77,17,1
2,2,2,507344.97,16,0
6,2,3,730535.02,25,0
10,5,3,845302.64,16,1
2,4,4,723848.86,3,1
7,3,1,654790.22,17,1
3,0,1,1028733.45,6,1
9,2,1,764486.56,19,0
5,0,2,1252571.71,13,1
8,2,2,824628.19,21,0
6,3,2,528013.51,13,1
10,1,2,912215.49,1,1
8,4,3,1506886.19,24,1
3,0,4,899326.0,15,0
3,1,5,957220.08,10,1
5,2,5,1356916.88,18,1
10,2,2,422543.55,9,1
3,2,2,980239.82,18,1
8,1,3,708607.09,1,1
10,2,7,319646.46,2,1
8,2,3,795068.48,6,1
2,5,2,888634.68,13,1
4,4,3,96737.23,11,0
10,5,1,50000.0,24,1
1,2,6,535407.92,15,1
4,0,1,986881.56,8,1
4,1,4,776111.76,4,1
10,3,2,1459985.7,2,1
9,3,4,780478.49,6,1
3,3,4,760600.69,25,0
2,0,1,861963.55,22,0
9,1,5,1139256.1,23,1
9,1,7,554612.23,3,1
1,4,5,1057860.77,7,1
6,0,5,1050562.99,24,0
10,3,1,581005.12,4,1
8,2,2,1236015.46,5,1
3,4,2,1128970.52,21,0
9,3,1,1288875.4,24,0
2,3,9,1105583.31,21,1
6,2,2,1383390.61,16,0
1,2,1,1081222.76,5,1
7,2,6,160941.3,19,0
3,5,1,50000.0,11,1
7,1,3,925844.4,12,0
4,1,6,1316279.55,16,0
9,5,1,267055.62,3,1
5,3,3,929843.68,25,1
3,2,6,1262271.39,10,1
8,1,1,391612.83,16,1
6,5,5,732508.25,3,1
2,4,1,979933.42,17,1
3,3,3,310397.66,9,1
8,0,2,1296122.37,17,1
10,1,2,857349.9,21,1
7,2,1,761575.24,12,0
10,8,4,174697.07,2,1
6,1,2,882040.83,11,1
1,1,6,432201.34,18,0
9,5,2,1235225.28,20,1
3,4,5,928031.96,22,1
5,1,3,310264.03,3,1
7,2,1,388724.95,10,1
7,2,2,773073.02,4,1
3,3,3,1044054.09,7,1
4,4,1,1111737.96,7,1
10,4,3,180821.42,3,1
7,4,4,669353.74,17,1
8,2,5,390294.43,2,1
2,0,3,1205556.54,9,0
9,2,6,756617.41,8,1
7,0,1,513066.37,16,0
8,2,1,1397878.18,20,0
6,1,4,1075980.67,14,1
6,1,3,778280.94,22,0
9,1,1,575162.49,6,1
4,5,2,50000.0,3,1
5,4,5,661965.2,7,1
9,1,4,689107.24,18,1
1,2,4,1249694.23,8,1
4,2,3,292632.32,6,1
7,1,3,950912.19,2,0
9,1,2,1069059.0,21,1
10,4,0,650933.28,16,1
6,4,4,788734.8,15,0
8,3,4,974215.53,13,1
9,3,1,744229.68,2,1
10,2,4,1622624.95,2,1
4,3,0,1274489.77,3,1
1,1,3,954272.54,15,0
8,3,4,796977.74,7,1
2,1,2,1117772.32,10,1
1,2,3,775365.77,24,0
7,4,4,332174.88,14,0
10,1,0,1021163.7,5,1
9,1,1,649221.17,18,0
9,2,6,921684.21,8,1
3,2,0,649228.19,1,1
6,5,1,417675.89,2,1
7,1,3,1663547.14,12,1
10,3,3,447593.22,12,1
9,3,3,980735.34,7,1
2,0,3,1224068.43,25,0
8,1,3,968504.82,7,1
7,2,2,1302878.07,7,1
4,2,3,1044303.45,7,1
2,3,0,50000.0,23,0
8,3,3,275053.9,13,1
5,2,3,856224.36,6,0
6,4,0,367175.97,18,0
7,2,4,985284.02,11,1
10,3,2,1592140.01,10,0
1,2,3,991524.92,7,1
8,1,2,875119.02,4,1
4,1,2,1339476.03,10,1
9,2,6,1387090.67,4,1
1,1,1,1095686.6,7,0
2,6,4,621230.22,8,1
6,2,1,745916.28,3,1
10,5,6,532116.34,10,1
1,6,2,656667.19,18,1
4,3,6,1078258.84,15,1
8,2,3,1030546.53,21,0
10,0,3,834577.48,21,0
5,1,6,959613.64,10,0
9,4,2,1081604.4,6,1
6,0,6,784855.27,3,0
1,3,3,889233.28,14,1
6,1,2,1064139.38,14,1
6,3,3,531627.94,1,1
6,3,3,1043914.59,19,0
8,6,2,50000.0,5,1
6,2,3,879314.82,2,1
5,3,3,587631.26,22,1
2,1,1,50000.0,5,1
4,1,5,977843.93,1,1
10,0,3,673338.57,19,0
5,2,4,247363.87,1,1
10,6,2,1053895.42,11,1
4,5,5,439302.82,18,1
2,1,2,733114.81,16,0
7,1,3,1308740.74,14,1
10,2,4,956534.53,8,0
10,1,1,396258.77,12,0
2,2,5,983265.77,7,0
1,2,3,1305619.12,14,1
5,2,3,880436.27,21,0
1,1,2,966295.4,9,1
1,4,4,1044738.31,24,1
1,1,4,847706.84,22,0
6,1,3,786596.4,22,0
9,3,2,956259.54,13,1
10,0,3,944954.18,17,1
1,0,3,984062.7,3,1
5,5,3,1077885.12,18,1
9,4,1,50000.0,25,0
9,0,6,894545.83,17,1
1,4,2,765273.23,23,0
8,4,2,1443145.08,21,1
1,3,3,718488.22,2,1
8,2,3,920076.07,18,1
1,6,2,517109.89,6,1
5,3,2,1103176.68,23,0
8,4,6,457326.72,2,1
6,1,7,774589.35,25,0
9,2,3,2149017.55,6,1
1,4,1,613511.57,12,1
9,0,1,583870.62,8,0
1,6,2,405526.92,4,1
10,2,3,663218.75,6,1
10,2,2,237704.43,2,1
3,4,4,415586.02,19,0
1,1,0,948109.12,16,0
3,2,2,1191775.56,23,0
2,4,1,50000.0,5,1
2,5,1,1001884.55,3,1
9,3,3,1290904.94,12,1
8,2,3,418984.31,9,1
1,2,5,1501135.35,11,1
4,3,1,1327379.13,11,1
1,1,1,507639.52,18,0
1,4,3,834709.98,2,1
4,2,3,1200104.09,20,1
2,1,4,1159223.5,22,0
3,0,3,710890.76,3,0
9,0,3,509502.74,11,1
2,2,4,1246616.51,23,1
4,2,2,809986.67,2,0
1,4,7,398211.31,9,1
2,3,4,50000.0,2,1
5,1,1,553004.78,1,1
10,3,3,865965.3,15,1
1,4,2,1281088.35,1,1
7,1,1,257858.92,18,0
4,4,1,658038.89,19,0
6,2,5,800366.8,14,0
8,2,1,1505699.86,9,1
6,6,5,125317.28,22,1
2,5,1,816610.71,16,1
1,1,5,627779.46,8,1
8,1,2,465907.71,12,0
8,3,3,997323.57,15,1
9,1,4,1275290.26,18,1
6,0,0,263989.26,18,0
1,1,2,411797.74,12,0
9,1,3,125450.73,18,0
3,6,2,745688.13,2,1
6,3,1,836957.15,6,1
10,0,7,1082226.13,25,1
10,3,2,790014.4,6,1
9,5,6,813519.1,10,1
3,2,2,1414076.71,24,0
5,0,0,1121130.86,20,0
5,3,2,50000.0,16,0
10,4,5,1100044.29,11,1
7,1,4,586483.59,24,0
4,4,6,688421.53,5,1
4,1,4,761490.54,25,0
7,3,4,475639.05,13,1
9,1,4,1056605.02,23,0
4,3,4,126473.58,9,1
4,0,3,1185314.88,9,0
6,4,3,1320327.5,17,1
6,1,6,936642.46,4,1
7,1,4,1023104.66,16,1
1,6,3,146679.86,18,0
3,2,1,304462.68,22,0
9,1,3,832478.2,1,1
6,1,4,522590.27,25,0
6,2,3,331322.19,20,0
5,1,3,1260482.57,1,1
3,1,3,639311.09,16,0
5,3,5,1202068.69,2,1
1,3,4,247380.58,9,0
3,1,4,368269.44,20,1
4,1,2,1085912.97,13,1
5,3,7,789294.58,6,1
10,1,6,1218570.86,17,1
9,6,0,885009.51,12,1
4,2,3,1465230.74,9,1
3,3,2,1259583.34,13,1
10,3,6,1003427.11,8,1
1,2,4,385850.73,23,0
10,1,1,400243.38,9,0
6,2,3,112039.3,1,1
7,3,3,1085242.34,10,0
10,3,1,697305.92,1,1
8,2,4,73006.14,17,1
1,4,3,711206.6,21,0
4,3,2,766711.05,11,0
5,1,3,720141.65,25,1
2,4,3,753925.58,12,0
1,2,1,1431524.04,6,1
8,3,3,751608.1,2,1
6,4,9,203210.44,4,1
5,3,1,693554.35,3,1
9,1,0,1010154.42,12,0
2,1,1,487043.8,18,0
10,1,3,959608.16,20,1
8,0,0,810226.86,22,0
10,2,5,1232160.56,20,0
9,3,2,1098821.72,21,1
1,2,3,617869.48,24,0
7,2,5,646123.85,20,0
8,4,3,425706.4,6,1
3,3,5,841971.11,10,1
4,3,4,762588.88,14,0
3,3,3,97088.56,21,0
7,2,4,588351.45,6,1
9,5,3,884380.47,17,1
3,2,4,466780.26,5,0
6,2,2,1293425.26,2,1
8,3,0,881492.61,20,0
6,1,1,438901.08,15,1
2,1,4,804252.51,7,0
7,4,2,818184.72,4,1
2,1,5,980882.83,15,1
2,1,3,603771.56,16,1
2,0,5,859556.19,25,0
1,2,9,391938.48,24,1
1,3,2,396581.14,13,1
7,5,5,886368.54,5,1
5,4,1,234169.4,18,1
3,0,3,671288.23,14,0
1,2,4,1767489.68,2,1
10,2,3,1143604.83,7,1
6,4,4,1146875.14,18,1
1,3,7,1542618.41,18,1
9,2,4,522719.19,19,0
2,3,3,912828.59,17,0
1,3,6,1218464.81,17,1
